hint_1|De 'Witte Hand' zou niet het 'Naakte Oog' al te veel moeten vertrouwen, noch andersom.
hint_2|Tegen wie je vecht, wie je helpt en waar een veldslag afspeelt bepaalt of een geallieerd Koningkrijk jou opmerkt en misschien dankbaar word voor jouw daden.
hint_3|Verkenners zijn een bron van informatie voor een koninkrijk, eveneens de gevangenen die naar de kerkers zijn gebracht voor martelingen en ondervragingen. Het bevrijden van gevangenen en het bevrijden van verkenners kan de vijand verblinden.
hint_4|Onthoud dat je binnen elk koninkrijk er verschillende waardes zijn voor bronpunten, welke jou het recht geven om binnen dat koninkrijk te mogen herbevoorraaden aan uitrusting en troepen.
hint_5|Een militaire ineenstorting van een koninkrijk is onomkeerbaar. Het zal Mordor nooit kunnen overkomen, maar de oorlog zal wel voorbij zijn wanneer hun militaire macht beperkt is en al hun bondenoten verslagen zijn.
hint_6|Je hebt goed verstand (Intelligentie) nodig om niet in paniek te raken door een Nazgul. Je moet perfecte controle over je paard hebben om zijn paniek te voorkomen
hint_7|Je kan uitrusten op de wereldkaart door het indrukken van de spatiebalk. Alhoewel, gewonde groepsgenoten zullen sneller herstellen door uit te rusten in een stad.
hint_8|Om snel voorwerpen te kopen, of juist om te vérkopen, houd je control knop ingedrukt tijdens dat je klikt met je linkermuis knop.
hint_9|Je kan een locatie onmiddellijk verlaten door op tab toets te drukken, en druk op de 'Backspace' toets gedurende een veldslag om in het commando inteface te komen.
hint_10|Dieren kunnen in paniek raken door in de buurt van Trollen en Olog-Hais te komen, dus pas op!
hint_11|Mankrachten representeert een cruciale bron binnen je koningkrijk, het in dienst nemen en onderhouden van troepen kost je bronponten van de bijbehorende factie.
hint_12|Je kan bevelen geven aan je troepen tijdens een gevecht. Ook kan je in-zoomen tijden het richten op verre vijanden door de shift-knop in te drukken.
