p_town_minas_tirith|Минас-Тирит
p_town_pelargir|Пеларгир
p_town_linhir|Линхир
p_town_dol_amroth|Дол-Амрот
p_town_edhellond|Эделлонд
p_town_lossarnach|Лоссарнах
p_town_tarnost|Тарност
p_town_erech|Эрех
p_town_pinnath_gelin|Пиннат-Гелин
p_town_west_osgiliath|Западный Осгилиат
p_town_henneth_annun|Хеннет-Аннун
p_town_cair_andros|Кайр-Андрос
p_town_calembel|Калембель
p_town_edoras|Эдорас
p_town_aldburg|Альдбург
p_town_hornburg|Хорнбург
p_town_east_emnet|Истемнет
p_town_westfold|Вестфольд
p_town_west_emnet|Вестемнет
p_town_eastfold|Истфольд
p_town_morannon|Мораннон
p_town_minas_morgul|Минас-Моргул
p_town_cirith_ungol|Орочий форпост
p_town_east_osgiliath|Восточный Осгилиат
p_town_orc_sentry_camp|Сторожевой лагерь орков
p_town_isengard|Изенгард
p_town_urukhai_outpost|Аванпост урук-хай
p_town_urukhai_h_camp|Охотничий лагерь урук-хай
p_town_urukhai_r_camp|Речной лагерь урук-хай
p_town_caras_galadhon|Карас-Галадон
p_town_cerin_dolen|Керин-Долен
p_town_cerin_amroth|Керин-Амрот
p_town_thranduils_halls|Чертоги Трандуиля
p_town_woodelf_camp|Лагерь лесных эльфов
p_town_woodelf_west_camp|Западный лагерь лесных эльфов
p_town_woodsmen_village|Деревня лесовиков
p_town_beorning_village|Деревня беорнингов
p_town_beorn_house|Дом Беорна
p_town_moria|Врата Мории
p_town_troll_cave|Пещера троллей
p_town_dale|Дейл
p_town_esgaroth|Эсгарот
p_town_dunland_camp|Дунландский лагерь
p_town_harad_camp|Харадский лагерь
p_town_khand_camp|Хандский лагерь
p_town_umbar_camp|Лагерь корсаров
p_town_imladris_camp|Лагерь Ривенделла
p_town_dol_guldur|Дол-Гулдур
p_town_dol_guldur_north_outpost|Северный аванпост Дол-Гулдура
p_town_rhun_main_camp|Главный рунийский лагерь
p_town_rhun_south_camp|Южный аванпост рунийцев
p_town_rhun_north_camp|Северный аванпост рунийцев
p_town_gundabad|Гундабад
p_town_gundabad_ne_outpost|Северо-восточный аванпост Гундабада
p_town_gundabad_nw_outpost|Северо-западный аванпост Гундабада
p_town_goblin_north_outpost|Северный аванпост гоблинов
p_town_goblin_south_outpost|Южный аванпост гоблинов
p_town_gundabad_m_outpost|Гундабадский аванпост в Темнолесье
p_town_erebor|Эребор
p_town_ironhill_camp|Каменоломня гномов Железных холмов
p_advcamp_gondor|Гондорский передовой лагерь
p_advcamp_rohan|Роханский передовой лагерь
p_advcamp_isengard|Изенгардский передовой лагерь
p_advcamp_mordor|Мордорский передовой лагерь
p_advcamp_harad|Харадский передовой лагерь
p_advcamp_rhun|Рунийский передовой лагерь
p_advcamp_khand|Хандский передовой лагерь
p_advcamp_umbar|Умбарский передовой лагерь
p_advcamp_lorien|Лориэнский передовой лагерь
p_advcamp_imladris|Передовой лагерь Имладриса
p_advcamp_woodelf|Передовой лагерь эльфов Темнолесья
p_advcamp_moria|Морийский передовой лагерь
p_advcamp_guldur|Передовой лагерь Дол-Гулдура
p_advcamp_gundabad|Гундабадский передовой лагерь
p_advcamp_dale|Передовой лагерь Дейла
p_advcamp_dwarf|Эреборский передовой лагерь
p_advcamp_dunland|Дунландский передовой лагерь
p_advcamp_beorn|Беорнингский передовой лагерь
p_argonath|Аргонат
p_argonath2|Аргонат
p_hand_isen|Каменная длань Изенгарда
p_mount_doom|Роковая гора
p_town_barad_dur|Барад-Дур
p_ford_cair_andros1|Андуин
p_ford_cair_andros2|Андуин
p_ford_caras_galadhon|Андуин
p_ford_brown_lands|Андуин
p_ford_rauros|Андуин
p_ford_pelargir|Андуин
p_ford_edhellond|Андуин
p_ford_cerin_dolen|Серебрянка
p_old_ford|Старый брод
p_ford_erech|Рингло
p_ford_isen1|Изен
p_ford_isen2|Изен
p_ford_rohan|Энтова купель
p_ford_rohan2|Энтова купель
p_ford_fangorn|Энтова купель
p_ford_fangorn2|Светлимка
p_ford_moria|Серебрянка
p_legend_amonhen|Амон-Хен
p_legend_deadmarshes|Мертвецкие болота
p_legend_mirkwood|Темнолесье
p_legend_fangorn|Энтомолвище
p_ring_hunter_lair|Логово Охотников за Кольцом
p_ancient_ruins|Древние руины
