str_yes|نعم.
str_no|لا.
str_noone|لا أحد
str_s50_comma_s51|{s50}، {s51}
str_s50_and_s51|{s50} و {s51}
str_s5_s_party| مجموعة {s5}
str_s5_s_host| حشد {s5}
str_given_by_s1_at_s2|مقدمة من {s1} في {s2}
str_given_by_s1_in_wilderness|مقدمة من {s1} أثناء وجوده في الميدان
str_s7_raiders|مغيرو {s7}
str_bandits_eliminated_by_another|قامت مجموعة أخرى بالقضاء على قطاع الطريق المزعجين.
str_msg_battle_won|انتصار في المعركة! اضغط مفتاح Tab للمغادرة...
str_tutorial_map1|أنت الآن تشاهد خريطة المنطقة. انقر بزر الماوس الأيسر على الخريطة لتحريك مجموعتك إلى هذا الموقع، أو دخول البلدة المحددة، أو مطاردة المجموعة المحددة. سيتوقف الوقت على خريطة المنطقة إذا كانت مجموعتك لا تتحرك أو تنتظر أو تستريح. للانتظار في أي مكان، ما عليك سوى الضغط مع الاستمرار على مفتاح المسافة.
str_accept|قبول
str_charge|هجوم
str_color|لون
str_flip_horizontal|قلب أفقي
str_flip_vertical|قلب رأسي
str_hold_fire|أمسك النار
str_blunt_hold_fire|أسلحة غير حادة / أمسك النار
str_tutorial_ammo_refilled|تمت إعادة تعبئة الذخيرة.
str_tutorial_failed|لقد هُزمت هذه المرة، لكن لا تقلق. اتبع التعليمات بعناية وستفعل بشكل أفضل في المرة القادمة. اضغط على مفتاح Tab للعودة إلى القائمة حيث يمكنك إعادة محاولة هذا البرنامج التعليمي.
str_tutorial_1_msg_1|في هذا البرنامج التعليمي، ستتعلم أساسيات الحركة والقتال. في Mount&Blade، تستخدم الفأرة للتحكم في اتجاه نظرك، ومفاتيح WASD على لوحة المفاتيح للتحرك. مهمتك الأولى في التدريب هي تحديد موقع العلم في الغرفة والتحرك فوقه. يمكنك الضغط على مفتاح Tab في أي وقت للخروج من هذا البرنامج التعليمي أو الخروج من أي منطقة أخرى في اللعبة. اذهب إلى العلم الآن.
str_tutorial_1_msg_2|أحسنت. بعد ذلك سنغطي الهجوم بالأسلحة. لأغراض هذا البرنامج التعليمي، تم تزويدك بقوس وسهام وسيف ودرع. يمكنك سحب أسلحة مختلفة من فتحات أسلحتك باستخدام عجلة التمرير في الفأرة. في التكوين الافتراضي، يؤدي التمرير لأعلى إلى سحب سلاحك التالي، والتمرير لأسفل يسحب درعك. إذا كنت تحمل درعًا بالفعل، فإن التمرير لأسفل سيُخفي درعك بدلاً من ذلك. حاول تغيير معداتك التي تحملها باستخدام عجلة التمرير الآن. عندما تكون مستعدًا، اذهب إلى العلم للانتقال إلى مهمتك التالية.
str_tutorial_1_msg_3|ممتاز. الجزء التالي من هذا البرنامج التعليمي يغطي الهجوم بالأسلحة المشاجرة. تهاجم بالسلاح الذي تحمله حاليًا باستخدام زر الفأرة الأيسر. اضغط مع الاستمرار على الزر لتجهيز الهجوم، ثم حرر الزر لتنفيذ الضربة. إذا ضغطت مع الاستمرار على زر الفأرة الأيسر لفترة قبل التحرير، فسيكون هجومك أقوى. الآن اسحب سيفك ودمر الدمى الأربع في الغرفة.
str_tutorial_1_msg_4|عمل رائع! لقد دمرت جميع الدمى الأربع. يمكنك الآن الانتقال إلى الغرفة التالية.
str_tutorial_1_msg_5|كما ترى، هناك هدف رماية على الجانب البعيد من الغرفة. مهمتك التالية هي استخدام قوسك لوضع ثلاثة سهام في ذلك الهدف. اضغط مع الاستمرار على زر الفأرة الأيسر لتركيب سهم. يمكنك بعد ذلك إطلاق السهم بتحرير زر الفأرة الأيسر. لاحظ علامة التصويب في وسط شاشتك، والتي تظهر لك دقة طلقتك. لتحقيق الدقة المثلى، أطلق سهمك عندما تكون علامة التصويب في أصغر حجم لها. حاول إصابة الهدف الآن.
str_tutorial_1_msg_6|أحسنت! لقد تعلمت أساسيات الحركة والهجوم. بقليل من الممارسة، ستتقنها قريبًا. في البرنامج التعليمي الثاني، يمكنك تعلم مهارات قتالية أكثر تقدمًا ومواجهة خصوم مسلحين. يمكنك الضغط على مفتاح Tab في أي وقت للعودة إلى قائمة البرامج التعليمية.
str_tutorial_2_msg_1|سيعلمك هذا البرنامج التعليمي كيف تدافع عن نفسك بالدرع وكيف تقاتل خصومًا مسلحين. في الوقت الحالي، أنت مسلح فقط بدرع. مهمتك ليست الهجوم، بل حماية نفسك بنجاح من الأذى باستخدام درعك. هناك خصم مسلح ينتظرك في الغرفة التالية. سيبذل قصارى جهده ليُفقِدك الوعي، بينما يجب عليك حماية نفسك بدرعك بالضغط مع الاستمرار على زر الفأرة الأيمن. ادخل إلى الغرفة التالية الآن لمواجهة خصمك. تذكر أنه يمكنك الضغط على مفتاح Tab في أي وقت للخروج من هذا البرنامج التعليمي أو الخروج من أي منطقة أخرى في اللعبة.
str_tutorial_2_msg_2|اضغط مع الاستمرار على زر الفأرة الأيمن لرفع درعك. حاول البقاء واقفًا لمدة ثلاثين ثانية. بقي لديك {reg3} ثانية.
str_tutorial_2_msg_3|أحسنت، لقد نجحت في الدفاع ضد خصم مسلح. المرحلة التالية من هذا البرنامج التعليمي ستضعك أنت ودرعك في مواجهة قوة من رماة العدو. انتقل إلى الغرفة التالية عندما تكون مستعدًا لمواجهة الرماة.
