hint_1|Sang White Hand janganlah terlalu percaya kepada si Naked Eye, begitu juga sebaliknya.
hint_2|Siapa yang kamu lawan, siapa yang kamu bantu, dan dimana pertempuran dilakukan menentukan Kerajaan sekutu mana yang memperhatikan dan mungkin memberikan apresiasi atas upaya yang telah kamu lakukan.
hint_3|Scouts merupakan sumber informasi bagi sebuah Kerajaan, dimana para tawanan dijebloskan ke penjara untuk disiksa dan dinterogerasi. Membebaskan tawanan dan mengutus scouts dapat menipu pihak lawan.
hint_4|Ingat! bahwa kamu memiliki nilai Resource Points yang berbeda-beda bagi tiap Kerajaan, sehingga kamu pun harus menyuplai kembali dengan peralatan dan pasukan yang ada pada Kerajaan tersebut.
hint_5|Keruntuhan sebuah kekuatan militer kerajaan merupakan hal yang tidak dapat diubah. Mordor tidak akan mengalami nasib yang sedemikian rupa, namun perang akan berakhir bila kekuataan militernya dan sekutunya telah dikalahkan.
hint_6|Diperlukan pikiran yang jernih (INT) agar tidak panik dalam menghadapi sesosok Nazgul. Sedangkan, dibutuhkan kemampuan lihai dalam berkuda agar tidak membuat panik kuda tersebut.
hint_7|Kamu dapat beristirahat dalam peta dunia dengan menahan tombol space bar. Akan tetapi, anggota party yang terluka akan lebih cepat pulih bila beristirahat di kota.
hint_8|Agar cepat untuk mengambil dan memberikan item dalam tampilan inventori, tahan tombol control sembari menekan klik kiri.
hint_9|Kamu dapat meninggalkan area manapun secara cepat dengan menekan tombol tab, sementara tekanlah tombol Backspace dalam pertempuran untuk menampilkan tampilan fitur komando pasukan.
hint_10|Binatang dapat panik bila mendekati trolss dan olog-hais. Waspadalah!
hint_11|Sumber daya manusia merupakan sumber vital dalam sebuah kerajaan: merekrut dan memelihara pasukan dalam komando kamu akan menggunakan Resourse Points dari faksi yang bersangkutan.
hint_12|Kamu dapat memberikan komando terhadap party kamu ketika dalam pertempuran. Kamu dapat menahan tombol shift untuk melihat lebih dekat ketika membidik musuh.
