fac_no_faction|沒有陣營
fac_commoners|平民
fac_outlaws|野人和匪徒
fac_gondor|剛鐸
fac_dwarf|孤山
fac_rohan|洛汗
fac_mordor|魔多
fac_isengard|艾辛格
fac_lorien|羅斯洛立安
fac_imladris|瑞文戴爾
fac_woodelf|幽暗密林的精靈
fac_dale|河谷鎮
fac_harad|哈拉德威治
fac_rhun|盧恩
fac_khand|侃德
fac_umbar|昂巴
fac_moria|摩瑞亞
fac_guldur|多爾哥多
fac_gundabad|剛達巴山
fac_dunland|登蘭德人
fac_beorn|波寧人
fac_player_supporters_faction|玩家陣營
fac_player_faction|玩家陣營
fac_brigands|強盜
fac_tribal_orcs|部落獸人
fac_innocents|無辜者
fac_merchants|商人
fac_manhunters|賞金獵人
fac_deserters|逃兵
fac_mountain_bandits|山賊
fac_forest_bandits|森林強盜
