p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Západní Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Helmova Hláska
p_town_east_emnet|Východní polonina
p_town_westfold|Západní úval
p_town_west_emnet|Západní polonina
p_town_eastfold|Východní úval
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Strážní věž Emyn Muil
p_town_east_osgiliath|Východní Osgiliath
p_town_orc_sentry_camp|Hlídka Emyn Arnen
p_town_isengard|Železný pas
p_town_urukhai_outpost|Tábor Skurut-hai
p_town_urukhai_h_camp|Lovecký tábor Skurut-hai
p_town_urukhai_r_camp|Říční tábor Skurut-hai 
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduilovy síně
p_town_woodelf_camp|Jižní tábor lesních elfů
p_town_woodelf_west_camp|Západní tábor lesních elfů
p_town_woodsmen_village|Dřevorubecká vesnice
p_town_beorning_village|Vesnice Meddědovců
p_town_beorn_house|Meddědův dům
p_town_moria|Brány Morie
p_town_troll_cave|Zlobří jeskyně
p_town_dale|Dol
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Tábor Vrchovců
p_town_harad_camp|Tábor Haradských
p_town_khand_camp|Tábor Varjagů
p_town_umbar_camp|Tábor Korzárů
p_town_imladris_camp|Tábor elfů z Roklinky
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Základna u Dol Guldurské cesty
p_town_rhun_main_camp|Hlavní tábor Východňanů
p_town_rhun_south_camp|Jižní tábor Východňanů
p_town_rhun_north_camp|Severní tábor Východňanů
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
p_town_goblin_north_outpost|Gobliní město
p_town_goblin_south_outpost|Jižní gobliní hlídka
p_town_gundabad_m_outpost|Gundabadská hlídka v Temném Hvozdu
p_town_erebor|Erebor
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|Pochodový tábor Gondoru
p_advcamp_rohan|Pochodový tábor Rohanu
p_advcamp_isengard|Pochodový tábor Železného Pasu
p_advcamp_mordor|Pochodový tábor Mordoru
p_advcamp_harad|Pochodový tábor Haradu
p_advcamp_rhun|Pochodový tábor Východňanů
p_advcamp_khand|Pochodový tábor Variagů
p_advcamp_umbar|Pochodový tábor Korzárů
p_advcamp_lorien|Pochodový tábor Lorienu
p_advcamp_imladris|Pochodový tábor Roklinky
p_advcamp_woodelf|Pochodový tábor lesních elfů
p_advcamp_moria|Pochodový tábor Morie
p_advcamp_guldur|Pochodový tábor Dol Gulduru
p_advcamp_gundabad|Pochodový tábor Gundabadu
p_advcamp_dale|Pochodový tábor Dolu
p_advcamp_dwarf|Pochodový tábor Ereboru
p_advcamp_dunland|Pochodový tábor Vrchovců
p_advcamp_beorn|Pochodový tábor Meddědovců
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Ruka Železného pasu
p_mount_doom|Hora Osudu
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduina
p_ford_cair_andros2|Anduina
p_ford_caras_galadhon|Anduina
p_ford_brown_lands|Anduina
p_ford_rauros|Anduina
p_ford_pelargir|Anduina
p_ford_edhellond|Anduina
p_ford_cerin_dolen|Celebrant
p_old_ford|Starý brod
p_ford_erech|Ringlo
p_ford_isen1|Želíz
p_ford_isen2|Želíz
p_ford_rohan|Entva
p_ford_rohan2|Entva
p_ford_fangorn|Entva
p_ford_fangorn2|Lipava
p_ford_moria|Stříberka
p_fangorn_center|Střed Fangornu
p_ring_hunter_lair|Doupě hledačů prstenu
p_raft|Voraři
p_amon_din|Amon Din
p_eilenach|Eilenach
p_nardol|Nardol
p_erelas|Erelas
p_min_rimmon|Min Rimmon
p_calenhad|Calenhad
p_amon_anwar|Amon Anwar
p_ancient_ruins|Prastará zřícenina
