qst_deliver_message|Aflever besked til {s13}
qst_deliver_message_text|{s9} bad dig om at levere et bud til {s13}. {s13} befandt sig ved {s4}, da du fik denne tildeling.
qst_deliver_message_to_enemy_lord|Aflever besked til
qst_deliver_message_to_enemy_lord_text|{s9} bad dig om at levere et bud til {s13} af {s15}. {s13} befandt sig ved {s4}, da du fik denne tildeling.
qst_raise_troops|Hæv {reg1} {s14}
; qst_raise_troops_text|{s9} asked you to raise {reg1} {s14} and bring them to {him/her}.
qst_escort_messenger|Eskorter budbringeren til {s14}
qst_escort_messenger_text|intet
qst_hunt_down_fugitive|Jagt {s4}
qst_hunt_down_fugitive_text|{s9} spurgte om du kunne jage flygtningen {s4}. De mener at han på nuværende tidspunkt er i {s3}
qst_bring_back_runaway_serfs|Bring De Flygtede Slaver Tilbage
qst_bring_back_runaway_serfs_text|{s9} spurgte dig om du kunne bringe de tre grupper af flygtede slaver tilbage til {s2}. Han sagde at alle tre grupper skal løbe i retning af {s3}
qst_follow_spy|Følg spionen til mødet
qst_follow_spy_text|{s11} spurgte om du kunne efterfølge spionen der vil forlade {s12}. Du skal være forsigtig for ikke at blive set af spionen under hans rejse, ellers bliver han mistænksom og vender om. Når spionen møder hans medskyldige, skal lave et bagholdsangreb, fange dem og medbringe dem til {s11}
qst_capture_enemy_hero|Fang en fjendtlig kommandør
qst_capture_enemy_hero_text|{s11} spurgte dig om at fange en fjendtlig kommandør
qst_lend_companion|Lån Din Medfølger {s3} til {s9}
; qst_lend_companion_text|{s9} asked you to lend your companion {s3} to him for a week.
; qst_capture_prisoners|Bring {reg1} enemy prisoners
; qst_capture_prisoners_text|{s9} wanted you to bring him {reg1} enemy prisoners.
; qst_investigate_fangorn|Investigate Fangorn
; qst_investigate_fangorn_text|{s9} asked you to find out what is going on in the Fangorn forest, and to report back.
qst_capture_troll|Fang en trold
; qst_capture_troll_text|{s9} asked you to bring back a savage troll for use in his army.
; qst_kill_troll|Dispatch raging Troll
; qst_kill_troll_text|{s9} asked you to free {s13} from the menace of a Troll raging in its outskirts.
; qst_mirkwood_sorcerer|Slay a sorcerer in Mirkwood
; qst_mirkwood_sorcerer_text|Galadriel's power to defend Lothlorien has been undermined by the foul rituals of a sorcerer of Dol Guldur.  Though he is a mortal, he represents a great threat to the Elves. Search for him in Mirkwood forest, not far from Dol Guldur itself. Use stealth to prevent the alarm from being raised as there will be only one opportunity to defeat him.
; qst_find_lost_spears|Find the lost spears of king Bladorthin
; qst_find_lost_spears_text|{s9} asked you to find the lost spears dwarves once made for king Bladorthin. You have to ask the dwarves permission to search for the spears in the depths of the Lonely Mountain.
; qst_defend_village|Defend Village
; qst_raid_village|Raid Village
; qst_destroy_scout_camp|Destroy Scout Camp
; qst_rescue_prisoners|Rescue {reg1} Prisoners
; qst_rescue_prisoners_text|{s9} wanted you to rescue {reg1} prisoners.
; qst_scout_enemy_town|Scout Enemy Town
; qst_scout_enemy_town_text|{s9} asked you to scout around {s13}.
; qst_dispatch_scouts|Dispatch a Scout Party
; qst_dispatch_scouts_text|{s9} asked you to dispatch a scout party near {s13}.
; qst_eliminate_patrols|Eliminate {reg1} Enemy Parties
; qst_eliminate_patrols_text|{s9} asked you to eliminate {reg1} {s13} enemy parties.
; qst_lend_surgeon|Lend Your Surgeon {s3} to {s1}
; qst_lend_surgeon_text|Lend your experienced surgeon {s3} to {s1}.
qst_follow_army|Følg efter {s9}s hær
qst_follow_army_text|intet
qst_report_to_army|Rapporter til {s13}
qst_report_to_army_text|intet
; qst_deliver_cattle_to_army|Deliver {reg3} units of food to {s13}
qst_deliver_cattle_to_army_text|intet
; qst_join_siege_with_army|Join the Siege of {s14}
